birthrate,deathrate,lifeexpM,lifeexpF,infantdeaths,GNIpercapita,region,country
34.59,6.81,60.16,66.40,36.80,1012.29,7,Malawi
16.87,5.01,73.90,78.01,6.70,25897.28,1,Malaysia
14.89,2.88,76.93,80.19,7.70,16564.42,2,Maldives
42.08,9.98,57.72,59.19,63.60,2175.03,7,Mali
9.20,7.60,80.20,84.60,6.10,37831.64,6,Malta
34.13,7.34,62.83,66.06,52.80,5004.58,7,Mauritania
10.70,8.00,71.30,77.89,12.90,23536.25,7,Mauritius
17.92,5.93,72.05,77.83,11.60,19300.21,5,Mexico
22.94,6.53,65.99,69.31,26.40,3973.84,1,"Micronesia, Fed. Sts."
10.27,11.53,67.44,75.99,13.80,12323.32,3,Moldova
24.83,6.30,65.47,73.78,14.60,9719.12,1,Mongolia
11.78,10.59,74.21,79.11,2.50,20034.72,3,Montenegro
19.40,5.07,74.95,77.44,20.10,7170.82,6,Morocco
37.88,8.96,56.29,62.09,55.50,1245.43,7,Mozambique
17.70,8.21,63.42,69.60,38.00,4604.99,1,Myanmar
29.11,8.23,60.02,65.82,29.70,9866.20,7,Namibia
20.20,6.40,68.71,71.59,27.60,3135.22,2,Nepal
9.90,8.80,80.20,83.40,3.30,55765.19,3,Netherlands
12.43,6.95,80.00,83.40,4.80,39331.64,1,New Zealand
21.06,5.05,70.55,77.55,15.90,5845.33,5,Nicaragua
46.54,8.53,60.49,62.78,49.10,1142.77,7,Niger
38.38,12.11,53.09,54.84,76.90,5031.60,7,Nigeria
10.95,9.97,73.58,77.64,9.70,14913.88,3,North Macedonia
10.70,7.70,81.00,84.30,2.10,65732.50,3,Norway
19.79,2.46,75.65,79.91,9.80,27885.44,6,Oman
28.60,6.99,66.04,67.93,58.80,4821.11,2,Pakistan
19.26,5.05,75.06,81.41,13.60,28614.41,5,Panama
27.36,7.52,62.78,65.33,38.90,4267.44,1,Papua New Guinea
20.79,5.47,72.04,76.09,17.80,12204.53,5,Paraguay
18.13,5.44,73.61,79.03,11.50,11931.13,5,Peru
21.04,5.84,66.97,75.27,22.90,9016.73,1,Philippines
10.60,10.60,73.90,81.80,3.90,28933.04,3,Poland
8.40,10.70,78.40,84.60,3.10,32309.45,3,Portugal
9.70,1.17,78.83,81.74,6.10,94819.58,6,Qatar
10.30,13.30,71.70,79.10,6.60,26805.52,3,Romania
11.50,12.40,67.51,77.60,6.50,25311.23,3,Russian Federation
32.06,5.31,66.19,70.40,28.20,1909.37,7,Rwanda
24.69,5.30,71.06,75.19,14.00,6287.70,1,Samoa
18.32,3.45,73.67,76.49,6.40,48044.12,6,Saudi Arabia
35.12,5.85,65.24,69.32,32.80,3114.30,7,Senegal
9.20,14.80,73.10,78.10,5.00,15449.89,3,Serbia
17.20,7.80,70.30,78.50,12.60,25224.47,7,Seychelles
33.94,12.00,53.05,54.70,81.30,1594.31,7,Sierra Leone
8.90,5.00,80.90,85.40,2.20,87735.76,1,Singapore
10.70,9.90,73.80,80.70,4.80,30266.98,3,Slovak Republic
9.80,9.90,78.20,84.00,1.80,35987.71,3,Slovenia
32.88,4.28,70.98,74.51,17.60,2225.02,1,Solomon Islands
20.91,9.50,60.16,67.06,29.60,12322.44,7,South Africa
8.40,9.10,80.60,86.10,2.60,39566.37,3,Spain
16.11,6.55,73.24,79.98,6.70,12250.95,2,Sri Lanka
12.14,7.16,74.58,77.28,15.20,14139.67,5,St. Lucia
14.40,9.16,70.08,74.89,15.30,12158.01,5,St. Vincent and the Grenadines
32.54,7.26,63.09,66.71,43.30,4203.83,7,Sudan
18.79,7.28,68.27,74.82,17.40,14335.57,5,Suriname
11.50,9.10,80.80,84.10,2.20,53591.28,3,Sweden
10.30,7.90,81.60,85.60,3.70,67888.13,3,Switzerland
31.36,4.96,68.49,72.96,31.30,3614.10,3,Tajikistan
37.08,6.62,62.58,66.35,38.80,2472.82,7,Tanzania
10.51,7.56,72.98,80.47,8.20,16640.06,1,Thailand
29.45,6.05,67.05,71.09,40.70,4488.95,1,Timor-Leste
33.55,8.57,59.64,61.32,48.70,1518.10,7,Togo
24.63,7.19,68.79,72.65,13.80,6421.16,1,Tonga
13.30,8.26,70.62,75.96,16.90,26502.93,5,Trinidad and Tobago
